address,paon,saon,street,locality,town,postcode,district,propertyType,estateId,estate,estateClassification,estateType,estateRuleId,estateRegistryVersion,estateEvidenceStatus,estateReviewStatus,price,date,market,category
"BEAULIEU HOUSE, QUEENS DRIVE, OXSHOTT, LEATHERHEAD, KT22 0PB",BEAULIEU HOUSE,,QUEENS DRIVE,OXSHOTT,LEATHERHEAD,KT22 0PB,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3720000,2017-04-24,elmbridge-prime,A
"HILL HOUSE, HOOK HEATH ROAD, WOKING, GU22 0LB",HILL HOUSE,,HOOK HEATH ROAD,,WOKING,GU22 0LB,Woking,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3000000,2017-04-20,woking-district,A
"EARLSWOOD HOUSE, 27, ABBOTS DRIVE, VIRGINIA WATER, GU25 4SE","EARLSWOOD HOUSE, 27",,ABBOTS DRIVE,,VIRGINIA WATER,GU25 4SE,Runnymede,Detached,wentworth-estate,Wentworth Estate,A,traditional_private_estate,pe:wentworth-estate:abbots-drive:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,3500000,2017-04-07,runnymede-wentworth,A
"THE LAWN, 7, CLAREMONT PARK ROAD, ESHER, KT10 9LT","THE LAWN, 7",,CLAREMONT PARK ROAD,,ESHER,KT10 9LT,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,5400000,2017-03-17,elmbridge-prime,A
"GRENVILLE HOUSE, 19A, ERISWELL ROAD, HERSHAM, WALTON-ON-THAMES, KT12 5DJ","GRENVILLE HOUSE, 19A",,ERISWELL ROAD,HERSHAM,WALTON-ON-THAMES,KT12 5DJ,Elmbridge,Detached,burwood-park,Burwood Park,A,traditional_private_estate,pe:burwood-park:eriswell-road:whole,surrey-private-estates-2026-07-19-corrected-4,verified,ready,5320000,2017-03-08,elmbridge-prime,A
"THE FOUR WINDS, PITCH HILL, EWHURST, CRANLEIGH, GU6 7NL",THE FOUR WINDS,,PITCH HILL,EWHURST,CRANLEIGH,GU6 7NL,Waverley,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3375000,2017-03-01,waverley-south-surrey,A
"45, MORE LANE, ESHER, KT10 8AP",45,,MORE LANE,,ESHER,KT10 8AP,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3500000,2017-02-28,elmbridge-prime,B
"CHATSWORTH HOUSE, 35, PRINCES DRIVE, OXSHOTT, LEATHERHEAD, KT22 0UL","CHATSWORTH HOUSE, 35",,PRINCES DRIVE,OXSHOTT,LEATHERHEAD,KT22 0UL,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,4781111,2017-02-24,elmbridge-prime,A
"MALLOWS, WARRENERS LANE, WEYBRIDGE, KT13 0LH",MALLOWS,,WARRENERS LANE,,WEYBRIDGE,KT13 0LH,Elmbridge,Detached,st-georges-hill,St George's Hill,A,traditional_private_estate,pe:st-georges-hill:warreners-lane:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,4100000,2017-02-24,elmbridge-prime,A
"WEST WINDS, HEATH RISE, VIRGINIA WATER, GU25 4AX",WEST WINDS,,HEATH RISE,,VIRGINIA WATER,GU25 4AX,Runnymede,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,5600000,2017-02-17,runnymede-wentworth,A
"BROOMFIELD HOUSE, WESTWOOD ROAD, WINDLESHAM, GU20 6LW",BROOMFIELD HOUSE,,WESTWOOD ROAD,,WINDLESHAM,GU20 6LW,Surrey Heath,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3671400,2017-02-17,surrey-heath,A
"MILESTONES, WARRENERS LANE, WEYBRIDGE, KT13 0LH",MILESTONES,,WARRENERS LANE,,WEYBRIDGE,KT13 0LH,Elmbridge,Detached,st-georges-hill,St George's Hill,A,traditional_private_estate,pe:st-georges-hill:warreners-lane:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,3550000,2017-02-15,elmbridge-prime,B
"JADICA, CAMP END ROAD, WEYBRIDGE, KT13 0NW",JADICA,,CAMP END ROAD,,WEYBRIDGE,KT13 0NW,Elmbridge,Detached,st-georges-hill,St George's Hill,A,traditional_private_estate,pe:st-georges-hill:camp-end-road:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,3200000,2017-02-10,elmbridge-prime,A
"WESTWOOD, SOUTH DRIVE, VIRGINIA WATER, GU25 4JR",WESTWOOD,,SOUTH DRIVE,,VIRGINIA WATER,GU25 4JR,Runnymede,Detached,wentworth-estate,Wentworth Estate,A,traditional_private_estate,pe:wentworth-estate:south-drive:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,14500000,2017-01-31,runnymede-wentworth,A
"TOWER CROSS, EAST ROAD, WEYBRIDGE, KT13 0LG",TOWER CROSS,,EAST ROAD,,WEYBRIDGE,KT13 0LG,Elmbridge,Detached,st-georges-hill,St George's Hill,A,traditional_private_estate,pe:st-georges-hill:east-road:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,9500000,2017-01-26,elmbridge-prime,A
"OAK TREE COTTAGE, EAST ROAD, WEYBRIDGE, KT13 0LB",OAK TREE COTTAGE,,EAST ROAD,,WEYBRIDGE,KT13 0LB,Elmbridge,Detached,st-georges-hill,St George's Hill,A,traditional_private_estate,pe:st-georges-hill:east-road:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,4000000,2017-01-10,elmbridge-prime,A
"GRASSWAYS, 21, BROADWATER CLOSE, HERSHAM, WALTON-ON-THAMES, KT12 5DD","GRASSWAYS, 21",,BROADWATER CLOSE,HERSHAM,WALTON-ON-THAMES,KT12 5DD,Elmbridge,Detached,burwood-park,Burwood Park,A,traditional_private_estate,pe:burwood-park:broadwater-close:whole,surrey-private-estates-2026-07-19-corrected-4,verified,ready,4500000,2017-01-06,elmbridge-prime,A
"NEWNHAM, CAVENDISH ROAD, WEYBRIDGE, KT13 0JZ",NEWNHAM,,CAVENDISH ROAD,,WEYBRIDGE,KT13 0JZ,Elmbridge,Detached,st-georges-hill,St George's Hill,A,traditional_private_estate,pe:st-georges-hill:cavendish-road:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,6200000,2016-12-20,elmbridge-prime,A
"STANYARDS, CHERTSEY ROAD, CHOBHAM, WOKING, GU24 8JE",STANYARDS,,CHERTSEY ROAD,CHOBHAM,WOKING,GU24 8JE,Surrey Heath,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3400000,2016-12-09,surrey-heath,A
"93, FAIRMILE LANE, COBHAM, KT11 2DD",93,,FAIRMILE LANE,,COBHAM,KT11 2DD,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3150000,2016-12-08,elmbridge-prime,A
"175, BURWOOD ROAD, HERSHAM, WALTON-ON-THAMES, KT12 4AU",175,,BURWOOD ROAD,HERSHAM,WALTON-ON-THAMES,KT12 4AU,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3350000,2016-12-06,elmbridge-prime,A
"WHITE LODGE, QUARRY ROAD, OXTED, RH8 9HE",WHITE LODGE,,QUARRY ROAD,,OXTED,RH8 9HE,Tandridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3200000,2016-12-05,tandridge-oxted,A
"ICKLINGHAM HOUSE, 4, ICKLINGHAM ROAD, COBHAM, KT11 2NG","ICKLINGHAM HOUSE, 4",,ICKLINGHAM ROAD,,COBHAM,KT11 2NG,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,5850000,2016-12-01,elmbridge-prime,A
"UPPER SYDENHURST, MILL LANE, CHIDDINGFOLD, GODALMING, GU8 4SJ",UPPER SYDENHURST,,MILL LANE,CHIDDINGFOLD,GODALMING,GU8 4SJ,Waverley,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,4575000,2016-11-30,waverley-south-surrey,A
"BIRCH HALL, CHURCH ROAD, WINDLESHAM, GU20 6BN",BIRCH HALL,,CHURCH ROAD,,WINDLESHAM,GU20 6BN,Surrey Heath,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3900000,2016-11-30,surrey-heath,A
"6, OATLANDS COURT, ST MARYS ROAD, WEYBRIDGE, KT13 9QE",OATLANDS COURT,6,ST MARYS ROAD,,WEYBRIDGE,KT13 9QE,Elmbridge,Flat Maisonette,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3800000,2016-11-30,elmbridge-prime,B
"5, OATLANDS COURT, ST MARYS ROAD, WEYBRIDGE, KT13 9QE",OATLANDS COURT,5,ST MARYS ROAD,,WEYBRIDGE,KT13 9QE,Elmbridge,Flat Maisonette,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3800000,2016-11-30,elmbridge-prime,B
"4, OATLANDS COURT, ST MARYS ROAD, WEYBRIDGE, KT13 9QE",OATLANDS COURT,4,ST MARYS ROAD,,WEYBRIDGE,KT13 9QE,Elmbridge,Flat Maisonette,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3800000,2016-11-30,elmbridge-prime,B
"3, OATLANDS COURT, ST MARYS ROAD, WEYBRIDGE, KT13 9QE",OATLANDS COURT,3,ST MARYS ROAD,,WEYBRIDGE,KT13 9QE,Elmbridge,Flat Maisonette,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3800000,2016-11-30,elmbridge-prime,B
"2, OATLANDS COURT, ST MARYS ROAD, WEYBRIDGE, KT13 9QE",OATLANDS COURT,2,ST MARYS ROAD,,WEYBRIDGE,KT13 9QE,Elmbridge,Flat Maisonette,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3800000,2016-11-30,elmbridge-prime,B
"1, OATLANDS COURT, ST MARYS ROAD, WEYBRIDGE, KT13 9QE",OATLANDS COURT,1,ST MARYS ROAD,,WEYBRIDGE,KT13 9QE,Elmbridge,Flat Maisonette,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3800000,2016-11-30,elmbridge-prime,B
"AVALON, GODOLPHIN ROAD, WEYBRIDGE, KT13 0PT",AVALON,,GODOLPHIN ROAD,,WEYBRIDGE,KT13 0PT,Elmbridge,Detached,st-georges-hill,St George's Hill,A,traditional_private_estate,pe:st-georges-hill:godolphin-road:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,3690000,2016-11-30,elmbridge-prime,A
"56, PALACE ROAD, EAST MOLESEY, KT8 9DW",56,,PALACE ROAD,,EAST MOLESEY,KT8 9DW,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3500000,2016-11-25,elmbridge-prime,A
"ST ANDREWS, GORSE HILL ROAD, VIRGINIA WATER, GU25 4AU",ST ANDREWS,,GORSE HILL ROAD,,VIRGINIA WATER,GU25 4AU,Runnymede,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3200000,2016-11-22,runnymede-wentworth,A
"5, MATHAM ROAD, EAST MOLESEY, KT8 0SX",5,,MATHAM ROAD,,EAST MOLESEY,KT8 0SX,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3850000,2016-11-18,elmbridge-prime,A
"53, BROADWATER ROAD SOUTH, HERSHAM, WALTON-ON-THAMES, KT12 5DE",53,,BROADWATER ROAD SOUTH,HERSHAM,WALTON-ON-THAMES,KT12 5DE,Elmbridge,Detached,burwood-park,Burwood Park,A,traditional_private_estate,pe:burwood-park:broadwater-road-south:whole,surrey-private-estates-2026-07-19-corrected-4,verified,ready,3050000,2016-11-07,elmbridge-prime,A
"BURLINGTON HOUSE, 11, HIGH DRIVE, OXSHOTT, LEATHERHEAD, KT22 0NG","BURLINGTON HOUSE, 11",,HIGH DRIVE,OXSHOTT,LEATHERHEAD,KT22 0NG,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3010000,2016-11-02,elmbridge-prime,A
"3, OXSHOTT RISE, COBHAM, KT11 2RW",3,,OXSHOTT RISE,,COBHAM,KT11 2RW,Elmbridge,Detached,oxshott-way-estate,Oxshott Way Estate,A,traditional_private_estate,pe:oxshott-way-estate:oxshott-rise:whole,surrey-private-estates-2026-07-19-corrected-4,verified,ready,3125000,2016-10-31,elmbridge-prime,A
"APRIL MEADOW, WESTWOOD ROAD, WINDLESHAM, GU20 6LW",APRIL MEADOW,,WESTWOOD ROAD,,WINDLESHAM,GU20 6LW,Surrey Heath,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,4650000,2016-10-28,surrey-heath,A
"CHEYNE HOUSE, 18, ALBANY CLOSE, ESHER, KT10 9JR","CHEYNE HOUSE, 18",,ALBANY CLOSE,,ESHER,KT10 9JR,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3060000,2016-10-24,elmbridge-prime,A
"8, OXSHOTT RISE, COBHAM, KT11 2RN",8,,OXSHOTT RISE,,COBHAM,KT11 2RN,Elmbridge,Detached,oxshott-way-estate,Oxshott Way Estate,A,traditional_private_estate,pe:oxshott-way-estate:oxshott-rise:whole,surrey-private-estates-2026-07-19-corrected-4,verified,ready,4300000,2016-10-03,elmbridge-prime,A
"SOUTH HALL, CASTLE HILL, GUILDFORD, GU1 3SX",SOUTH HALL,,CASTLE HILL,,GUILDFORD,GU1 3SX,Guildford,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,4350000,2016-09-30,guildford-district,B
"HURTWOOD HOUSE, LAWBROOK LANE, PEASLAKE, GUILDFORD, GU5 9QW",HURTWOOD HOUSE,,LAWBROOK LANE,PEASLAKE,GUILDFORD,GU5 9QW,Guildford,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3042000,2016-09-30,guildford-district,B
"4, BROOMFIELDS, ESHER PARK AVENUE, ESHER, KT10 9NH",BROOMFIELDS,4,ESHER PARK AVENUE,,ESHER,KT10 9NH,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,4300000,2016-09-23,elmbridge-prime,A
"FAIRMOUNT HOUSE, 19, ERISWELL ROAD, HERSHAM, WALTON-ON-THAMES, KT12 5DJ","FAIRMOUNT HOUSE, 19",,ERISWELL ROAD,HERSHAM,WALTON-ON-THAMES,KT12 5DJ,Elmbridge,Detached,burwood-park,Burwood Park,A,traditional_private_estate,pe:burwood-park:eriswell-road:whole,surrey-private-estates-2026-07-19-corrected-4,verified,ready,3000000,2016-09-05,elmbridge-prime,A
"SILVESTER HOUSE, RIDGEMEAD ROAD, ENGLEFIELD GREEN, EGHAM, TW20 0YG",SILVESTER HOUSE,,RIDGEMEAD ROAD,ENGLEFIELD GREEN,EGHAM,TW20 0YG,Runnymede,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,6100000,2016-09-01,runnymede-wentworth,A
"LONGBOURN, SHERBOURNE DRIVE, ASCOT, SL5 0LG",LONGBOURN,,SHERBOURNE DRIVE,,ASCOT,SL5 0LG,Runnymede,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,4225000,2016-08-26,runnymede-wentworth,A
"12, SANDOWN AVENUE, ESHER, KT10 9NT",12,,SANDOWN AVENUE,,ESHER,KT10 9NT,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3487500,2016-08-25,elmbridge-prime,A
"SPARTA, RODONA ROAD, WEYBRIDGE, KT13 0NP",SPARTA,,RODONA ROAD,,WEYBRIDGE,KT13 0NP,Elmbridge,Detached,st-georges-hill,St George's Hill,A,traditional_private_estate,pe:st-georges-hill:rodona-road:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,4690000,2016-08-17,elmbridge-prime,A
"ALBURY HOUSE, 1, ALBURY ROAD, HERSHAM, WALTON-ON-THAMES, KT12 5DY","ALBURY HOUSE, 1",,ALBURY ROAD,HERSHAM,WALTON-ON-THAMES,KT12 5DY,Elmbridge,Detached,burwood-park,Burwood Park,A,traditional_private_estate,pe:burwood-park:albury-road:whole,surrey-private-estates-2026-07-19-corrected-4,verified,ready,4700000,2016-08-11,elmbridge-prime,B
"27, FAIRMILE AVENUE, COBHAM, KT11 2JA",27,,FAIRMILE AVENUE,,COBHAM,KT11 2JA,Elmbridge,Detached,eaton-park,Eaton Park,A,traditional_private_estate,pe:eaton-park:fairmile-avenue:whole,surrey-private-estates-2026-07-19-corrected-4,verified,ready,4050000,2016-08-11,elmbridge-prime,A
"38, ESHER PARK AVENUE, ESHER, KT10 9NX",38,,ESHER PARK AVENUE,,ESHER,KT10 9NX,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,4152600,2016-08-01,elmbridge-prime,A
"PEREGRINES, WHITE LANE, GUILDFORD, GU4 8PR",PEREGRINES,,WHITE LANE,,GUILDFORD,GU4 8PR,Guildford,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3700000,2016-07-15,guildford-district,A
"FAIRMOUNT, 87, FAIRMILE LANE, COBHAM, KT11 2DG","FAIRMOUNT, 87",,FAIRMILE LANE,,COBHAM,KT11 2DG,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3600000,2016-07-01,elmbridge-prime,A
"BLATCHFIELD, LITTLEFORD LANE, BLACKHEATH, GUILDFORD, GU4 8QY",BLATCHFIELD,,LITTLEFORD LANE,BLACKHEATH,GUILDFORD,GU4 8QY,Waverley,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3150000,2016-06-24,waverley-south-surrey,A
"BAY HOUSE, 16, INCE ROAD, HERSHAM, WALTON-ON-THAMES, KT12 5BJ","BAY HOUSE, 16",,INCE ROAD,HERSHAM,WALTON-ON-THAMES,KT12 5BJ,Elmbridge,Detached,burwood-park,Burwood Park,A,traditional_private_estate,pe:burwood-park:ince-road:whole,surrey-private-estates-2026-07-19-corrected-4,verified,ready,3275000,2016-06-15,elmbridge-prime,A
"12, FURZE FIELD, OXSHOTT, LEATHERHEAD, KT22 0UR",12,,FURZE FIELD,OXSHOTT,LEATHERHEAD,KT22 0UR,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,5300000,2016-06-14,elmbridge-prime,B
"GOLDEN OAKS, STOKESHEATH ROAD, OXSHOTT, LEATHERHEAD, KT22 0PN",GOLDEN OAKS,,STOKESHEATH ROAD,OXSHOTT,LEATHERHEAD,KT22 0PN,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3825000,2016-06-14,elmbridge-prime,A
"AMBERWOOD, MOLES HILL, OXSHOTT, LEATHERHEAD, KT22 0QB",AMBERWOOD,,MOLES HILL,OXSHOTT,LEATHERHEAD,KT22 0QB,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3135000,2016-06-13,elmbridge-prime,B
"CORBY WOOD, 52, COPSEM LANE, OXSHOTT, LEATHERHEAD, KT22 0NT","CORBY WOOD, 52",,COPSEM LANE,OXSHOTT,LEATHERHEAD,KT22 0NT,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3600000,2016-06-10,elmbridge-prime,A
"ALDERBROOK HOUSE, 22, MAYFIELD ROAD, WEYBRIDGE, KT13 8XD","ALDERBROOK HOUSE, 22",,MAYFIELD ROAD,,WEYBRIDGE,KT13 8XD,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3212500,2016-06-10,elmbridge-prime,A
"4, SPICERS FIELD, OXSHOTT, LEATHERHEAD, KT22 0UT",4,,SPICERS FIELD,OXSHOTT,LEATHERHEAD,KT22 0UT,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3015000,2016-05-26,elmbridge-prime,A
"ABBOTSWOOD HOUSE, CAMP END ROAD, WEYBRIDGE, KT13 0NW",ABBOTSWOOD HOUSE,,CAMP END ROAD,,WEYBRIDGE,KT13 0NW,Elmbridge,Detached,st-georges-hill,St George's Hill,A,traditional_private_estate,pe:st-georges-hill:camp-end-road:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,8500000,2016-04-28,elmbridge-prime,A
"27, CHARGATE CLOSE, HERSHAM, WALTON-ON-THAMES, KT12 5DW",27,,CHARGATE CLOSE,HERSHAM,WALTON-ON-THAMES,KT12 5DW,Elmbridge,Detached,burwood-park,Burwood Park,A,traditional_private_estate,pe:burwood-park:chargate-close:whole,surrey-private-estates-2026-07-19-corrected-4,verified,ready,4651842,2016-03-31,elmbridge-prime,A
"4, BIRDS HILL ROAD, OXSHOTT, LEATHERHEAD, KT22 0NJ",4,,BIRDS HILL ROAD,OXSHOTT,LEATHERHEAD,KT22 0NJ,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3000000,2016-03-31,elmbridge-prime,A
"BELVEDERE, WARREN LANE, OXSHOTT, LEATHERHEAD, KT22 0SU",BELVEDERE,,WARREN LANE,OXSHOTT,LEATHERHEAD,KT22 0SU,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3300000,2016-03-30,elmbridge-prime,A
"LA SELVA, PORTSMOUTH ROAD, ESHER, KT10 9JQ",LA SELVA,,PORTSMOUTH ROAD,,ESHER,KT10 9JQ,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,4100000,2016-03-24,elmbridge-prime,A
"RYEMEAD, THE WARREN, ASHTEAD, KT21 2SG",RYEMEAD,,THE WARREN,,ASHTEAD,KT21 2SG,Mole Valley,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3562250,2016-03-23,mole-valley,A
"VANBRUGH HOUSE, 2A, BIRDS HILL RISE, OXSHOTT, LEATHERHEAD, KT22 0SW","VANBRUGH HOUSE, 2A",,BIRDS HILL RISE,OXSHOTT,LEATHERHEAD,KT22 0SW,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3550000,2016-03-18,elmbridge-prime,A
"SUMMER LAWNS, EYHURST CLOSE, KINGSWOOD, TADWORTH, KT20 6NR",SUMMER LAWNS,,EYHURST CLOSE,KINGSWOOD,TADWORTH,KT20 6NR,Reigate and Banstead,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3200000,2016-03-18,reigate-banstead,A
"21, BIRDS HILL ROAD, OXSHOTT, LEATHERHEAD, KT22 0NJ",21,,BIRDS HILL ROAD,OXSHOTT,LEATHERHEAD,KT22 0NJ,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,6380000,2016-03-08,elmbridge-prime,A
"DAVOS HOUSE, WARREN DRIVE, KINGSWOOD, TADWORTH, KT20 6PZ",DAVOS HOUSE,,WARREN DRIVE,KINGSWOOD,TADWORTH,KT20 6PZ,Reigate and Banstead,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3300000,2016-03-04,reigate-banstead,A
"REGENCY HOUSE, STOKESHEATH ROAD, OXSHOTT, LEATHERHEAD, KT22 0PN",REGENCY HOUSE,,STOKESHEATH ROAD,OXSHOTT,LEATHERHEAD,KT22 0PN,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,4500000,2016-02-29,elmbridge-prime,A
"MINKA, LOWER HAMPTON ROAD, SUNBURY-ON-THAMES, TW16 5PR",MINKA,,LOWER HAMPTON ROAD,,SUNBURY-ON-THAMES,TW16 5PR,Spelthorne,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3050000,2016-02-25,spelthorne,A
"JADICA, CAMP END ROAD, WEYBRIDGE, KT13 0NW",JADICA,,CAMP END ROAD,,WEYBRIDGE,KT13 0NW,Elmbridge,Detached,st-georges-hill,St George's Hill,A,traditional_private_estate,pe:st-georges-hill:camp-end-road:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,3000000,2016-01-29,elmbridge-prime,A
"SPRING GROVE, 2A, VIRGINIA AVENUE, VIRGINIA WATER, GU25 4RY","SPRING GROVE, 2A",,VIRGINIA AVENUE,,VIRGINIA WATER,GU25 4RY,Runnymede,Detached,wentworth-estate,Wentworth Estate,A,traditional_private_estate,pe:wentworth-estate:virginia-avenue:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,3250000,2016-01-08,runnymede-wentworth,A
"HIGH WARREN, THE WARREN, ASHTEAD, KT21 2SG",HIGH WARREN,,THE WARREN,,ASHTEAD,KT21 2SG,Mole Valley,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3950000,2015-12-29,mole-valley,A
"10, ICKLINGHAM ROAD, COBHAM, KT11 2NG",10,,ICKLINGHAM ROAD,,COBHAM,KT11 2NG,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3675000,2015-12-22,elmbridge-prime,A
"WINTER PALACE, RIDGEMEAD ROAD, ENGLEFIELD GREEN, EGHAM, TW20 0YG",WINTER PALACE,,RIDGEMEAD ROAD,ENGLEFIELD GREEN,EGHAM,TW20 0YG,Runnymede,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3300000,2015-12-15,runnymede-wentworth,A
"KINGSMEAD, HURTMORE ROAD, HURTMORE, GODALMING, GU7 2RA",KINGSMEAD,,HURTMORE ROAD,HURTMORE,GODALMING,GU7 2RA,Guildford,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3033000,2015-12-11,guildford-district,A
"4A, WARWICKS BENCH ROAD, GUILDFORD, GU1 3TL",4A,,WARWICKS BENCH ROAD,,GUILDFORD,GU1 3TL,Guildford,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3300000,2015-12-10,guildford-district,A
"23, CLARE HILL, ESHER, KT10 9NB",23,,CLARE HILL,,ESHER,KT10 9NB,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3350000,2015-12-09,elmbridge-prime,A
"DALTON HILL, GUILDFORD LANE, ALBURY, GUILDFORD, GU5 9BG",DALTON HILL,,GUILDFORD LANE,ALBURY,GUILDFORD,GU5 9BG,Guildford,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3115000,2015-12-09,guildford-district,A
"TANCREDS, SOUTH ROAD, ST GEORGES HILL, WEYBRIDGE, KT13 0NA",TANCREDS,,SOUTH ROAD,ST GEORGES HILL,WEYBRIDGE,KT13 0NA,Elmbridge,Detached,st-georges-hill,St George's Hill,A,traditional_private_estate,pe:st-georges-hill:south-road:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,5750000,2015-11-30,elmbridge-prime,A
"HARWOOD HOUSE, ERISWELL ROAD, HERSHAM, WALTON-ON-THAMES, KT12 5BW",HARWOOD HOUSE,,ERISWELL ROAD,HERSHAM,WALTON-ON-THAMES,KT12 5BW,Elmbridge,Detached,burwood-park,Burwood Park,A,traditional_private_estate,pe:burwood-park:eriswell-road:whole,surrey-private-estates-2026-07-19-corrected-4,verified,ready,3250000,2015-11-30,elmbridge-prime,B
"THE MOUNT, QUEENS DRIVE, OXSHOTT, LEATHERHEAD, KT22 0PF",THE MOUNT,,QUEENS DRIVE,OXSHOTT,LEATHERHEAD,KT22 0PF,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,6292327,2015-11-27,elmbridge-prime,A
"BROCK HOUSE, 17, BROCK WAY, VIRGINIA WATER, GU25 4SD","BROCK HOUSE, 17",,BROCK WAY,,VIRGINIA WATER,GU25 4SD,Runnymede,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,4460000,2015-11-23,runnymede-wentworth,A
